username,full_name,birthdate,groups
allison_hill,Allison Hill,1979-10-10,"users,docker,video"
brian_yang,Brian Yang,2001-09-12,audio
javier_johnson,Javier Johnson,1979-06-19,users
lance_hoffman,Lance Hoffman,2001-09-01,"ftp,users,qa"
jerry_ramirez,Jerry Ramirez,1965-01-10,docker
caitlin_henderson,Caitlin Henderson,1983-06-30,audio
tyler_rogers,Tyler Rogers,1970-11-24,ftp
ian_cooper,Ian Cooper,1982-08-02,"docker,ftp,audio"
monica_herrera,Monica Herrera,1990-05-06,"ftp,qa,audio"
edward_fuller,Edward Fuller,1989-03-12,"wheel,video"
michele_williams,Michele Williams,1980-02-04,kvm
victoria_wyatt,Victoria Wyatt,1971-06-17,"qa,developers,video"
jesse_flowers,Jesse Flowers,1975-08-27,audio
daniel_adams,Daniel Adams,1969-06-11,"users,wheel"
carolyn_daniel,Carolyn Daniel,1975-09-15,"users,developers"
devin_schaefer,Devin Schaefer,2002-06-27,"wheel,video"
frederick_tate,Frederick Tate,1968-05-23,ssh
andrew_stewart,Andrew Stewart,1982-10-21,"users,qa,wheel"
thomas_bradley,Thomas Bradley,1985-12-31,"video,developers,audio"
jonathan_wilkerson,Jonathan Wilkerson,1995-10-23,"users,docker,audio"
charles_mcgee,Charles Mcgee,2001-04-06,"users,audio"
kevin_hurst,Kevin Hurst,1991-10-07,qa
zachary_taylor,Zachary Taylor,1998-03-03,"ssh,developers"
anthony_rodriguez,Anthony Rodriguez,2007-04-14,developers
michael_carlson,Michael Carlson,1990-10-08,"audio,video"
zachary_rice,Zachary Rice,2002-03-26,"users,kvm,audio"
alexandra_le,Alexandra Le,2001-02-15,ssh
patricia_peterson,Patricia Peterson,1984-07-22,"video,ftp"
jesse_mckay,Jesse Mckay,1982-07-05,developers
pamela_romero,Pamela Romero,1971-10-29,audio
elizabeth_fowler,Elizabeth Fowler,2006-01-10,developers
james_martin,James Martin,2000-09-04,"video,users"
linda_burns,Linda Burns,1972-03-13,wheel
sherry_decker,Sherry Decker,1985-07-06,"developers,audio,ssh"
david_bradley,David Bradley,1969-12-11,"ssh,kvm"
john_jones,John Jones,2000-11-01,"kvm,audio"
betty_alvarez,Betty Alvarez,2001-12-31,"ftp,wheel,video"
joseph_obrien,Joseph Obrien,1978-12-31,"wheel,qa,ftp"
nicole_vaughn,Nicole Vaughn,1985-10-18,"audio,kvm"
michael_brooks,Michael Brooks,1999-10-22,"ssh,users,docker"
david_brown,David Brown,1966-01-06,kvm
crystal_robinson,Crystal Robinson,1969-06-01,"kvm,qa,users"
amy_jones,Amy Jones,1966-09-21,"qa,ssh"
andrea_young,Andrea Young,1997-08-14,"video,ftp,docker"
carlos_walls,Carlos Walls,2003-06-12,"users,ftp,video"
dana_kennedy,Dana Kennedy,1992-04-14,"developers,users,video"
brent_jordan,Brent Jordan,1993-05-30,"kvm,ssh"
scott_brown,Scott Brown,1971-04-14,video
nicholas_mcbride,Nicholas Mcbride,1972-01-08,"kvm,ftp,users"
connor_west,Connor West,1993-04-17,"video,ftp,audio"
